word,ipa_yoruba,ipa_swahili,agreement,primary_candidate_ipa,alternate_candidate_ipa,approved_ipa,review_status,reviewer_notes,source
akenya,a k ẽ j a,a k a ɲ a,no,a k ẽ j a,a k a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
atì,a t i,a t i,yes,a t i,,a t i,auto-accepted,,transphone_yoruba_swahili
mombasa,m o m b a s a,m ɔ m b a s a,no,m o m b a s a,m ɔ m b a s a,,needs-analyst-review,,transphone_yoruba_swahili
mūbira,m u b i r a,m u b i r a,yes,m u b i r a,,m u b i r a,auto-accepted,,transphone_yoruba_swahili
úmwe,ũ w e,u m w a,no,ũ w e,u m w a,,needs-analyst-review,,transphone_yoruba_swahili
ûrîa,u r i a,u r i a,yes,u r i a,,u r i a,auto-accepted,,transphone_yoruba_swahili
ũmotho,o m o s o,ɔ m ɔ t ɔ,no,o m o s o,ɔ m ɔ t ɔ,,needs-analyst-review,,transphone_yoruba_swahili
gatagatì,ɡ a t a ɡ a t i,ɡ a t a ɡ a t i,yes,ɡ a t a ɡ a t i,,ɡ a t a ɡ a t i,auto-accepted,,transphone_yoruba_swahili
múndu,m ũ d u,m u n d u,no,m ũ d u,m u n d u,,needs-analyst-review,,transphone_yoruba_swahili
mûndû,m ũ d u,m u n d u,no,m ũ d u,m u n d u,,needs-analyst-review,,transphone_yoruba_swahili
mũndũ,m o d o,m ɔ d ɔ,no,m o d o,m ɔ d ɔ,,needs-analyst-review,,transphone_yoruba_swahili
namba,n ã b a,n a m b a,no,n ã b a,n a m b a,,needs-analyst-review,,transphone_yoruba_swahili
tanzania,t ã s a n i a,t a n z a n i a,no,t ã s a n i a,t a n z a n i a,,needs-analyst-review,,transphone_yoruba_swahili
wìra,w i r a,w i r a,yes,w i r a,,w i r a,auto-accepted,,transphone_yoruba_swahili
ūguo,u ɡ u o,u ɡ u ɔ,no,u ɡ u o,u ɡ u ɔ,,needs-analyst-review,,transphone_yoruba_swahili
andù,ã d u,a d u,no,ã d u,a d u,,needs-analyst-review,,transphone_yoruba_swahili
inene,i n e n e,i n a n a,no,i n e n e,i n a n a,,needs-analyst-review,,transphone_yoruba_swahili
kũrĩa,k o r e a,k ɔ r a,no,k o r e a,k ɔ r a,,needs-analyst-review,,transphone_yoruba_swahili
mūciì,m u t i,m u t i,yes,m u t i,,m u t i,auto-accepted,,transphone_yoruba_swahili
nambere,n ã b e r e,n a m b a r a,no,n ã b e r e,n a m b a r a,,needs-analyst-review,,transphone_yoruba_swahili
white,w i t e,w i t a,no,w i t e,w i t a,,needs-analyst-review,,transphone_yoruba_swahili
wira,w i r a,w i r a,yes,w i r a,,w i r a,auto-accepted,,transphone_yoruba_swahili
ĩrĩ,e r e,a r a,no,e r e,a r a,,needs-analyst-review,,transphone_yoruba_swahili
gîcunjî,ɡ i t ũ d i,ɡ i t u ʃ i,no,ɡ i t ũ d i,ɡ i t u ʃ i,,needs-analyst-review,,transphone_yoruba_swahili
gûkû,ɡ u k u,ɡ u k u,yes,ɡ u k u,,ɡ u k u,auto-accepted,,transphone_yoruba_swahili
kipchoge,k i p t o ɡ e,k i p t ɔ ɡ a,no,k i p t o ɡ e,k i p t ɔ ɡ a,,needs-analyst-review,,transphone_yoruba_swahili
thahabu,s a h a b u,t a h a b u,no,s a h a b u,t a h a b u,,needs-analyst-review,,transphone_yoruba_swahili
umwe,ũ w e,u m w a,no,ũ w e,u m w a,,needs-analyst-review,,transphone_yoruba_swahili
wakinya,w a k ĩ j a,w a k i ɲ a,no,w a k ĩ j a,w a k i ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
avenue,a f e n u e,a v a n u a,no,a f e n u e,a v a n u a,,needs-analyst-review,,transphone_yoruba_swahili
gúkú,ɡ u k u,ɡ u k u,yes,ɡ u k u,,ɡ u k u,auto-accepted,,transphone_yoruba_swahili
igúrú,i ɡ u r u,i ɡ u r u,yes,i ɡ u r u,,i ɡ u r u,auto-accepted,,transphone_yoruba_swahili
kamau,k a m a w,k a m a w,yes,k a m a w,,k a m a w,auto-accepted,,transphone_yoruba_swahili
kúrí,k u r i,k u r i,yes,k u r i,,k u r i,auto-accepted,,transphone_yoruba_swahili
mahinda,m a h ĩ d a,m a h i d a,no,m a h ĩ d a,m a h i d a,,needs-analyst-review,,transphone_yoruba_swahili
marĩa,m a r e a,m a r a,no,m a r e a,m a r a,,needs-analyst-review,,transphone_yoruba_swahili
south,s o u s,s ɔ u θ,no,s o u s,s ɔ u θ,,needs-analyst-review,,transphone_yoruba_swahili
william,w i l i ẽ,w i l i a m,no,w i l i ẽ,w i l i a m,,needs-analyst-review,,transphone_yoruba_swahili
ūmwe,ũ w e,u m w a,no,ũ w e,u m w a,,needs-analyst-review,,transphone_yoruba_swahili
hiti,h i t i,h i t i,yes,h i t i,,h i t i,auto-accepted,,transphone_yoruba_swahili
igoti,i ɡ o t i,i ɡ ɔ t i,no,i ɡ o t i,i ɡ ɔ t i,,needs-analyst-review,,transphone_yoruba_swahili
lake,l a k e,l a k a,no,l a k e,l a k a,,needs-analyst-review,,transphone_yoruba_swahili
maingi,m a ĩ ɡ i,m a i ɡ i,no,m a ĩ ɡ i,m a i ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
mũirũ,m o i r o,m ɔ i r ɔ,no,m o i r o,m ɔ i r ɔ,,needs-analyst-review,,transphone_yoruba_swahili
nguo,m u o,ŋ u ɔ,no,m u o,ŋ u ɔ,,needs-analyst-review,,transphone_yoruba_swahili
riri,r i r i,r i r i,yes,r i r i,,r i r i,auto-accepted,,transphone_yoruba_swahili
riũa,r i o a,r i ɔ a,no,r i o a,r i ɔ a,,needs-analyst-review,,transphone_yoruba_swahili
íyo,i j o,i j ɔ,no,i j o,i j ɔ,,needs-analyst-review,,transphone_yoruba_swahili
îno,ĩ n o,i n ɔ,no,ĩ n o,i n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
úndú,ũ d u,u d u,no,ũ d u,u d u,,needs-analyst-review,,transphone_yoruba_swahili
atumia,a t u m i a,a t u m i a,yes,a t u m i a,,a t u m i a,auto-accepted,,transphone_yoruba_swahili
highway,h i ɡ w a j,h i ɡ w a j,yes,h i ɡ w a j,,h i ɡ w a j,auto-accepted,,transphone_yoruba_swahili
iyo,i j o,i j ɔ,no,i j o,i j ɔ,,needs-analyst-review,,transphone_yoruba_swahili
jumatano,d u m a t a n o,ʃ u m a t a n ɔ,no,d u m a t a n o,ʃ u m a t a n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
kiria,k i r i a,k i r i a,yes,k i r i a,,k i r i a,auto-accepted,,transphone_yoruba_swahili
nini,n ĩ n i,n i n i,no,n ĩ n i,n i n i,,needs-analyst-review,,transphone_yoruba_swahili
nyamú,m a m u,ɲ a m u,no,m a m u,ɲ a m u,,needs-analyst-review,,transphone_yoruba_swahili
nyina,m ĩ n a,ɲ i n a,no,m ĩ n a,ɲ i n a,,needs-analyst-review,,transphone_yoruba_swahili
park,p a r k,p a r k,yes,p a r k,,p a r k,auto-accepted,,transphone_yoruba_swahili
queen,k e ẽ,ɛ a n,no,k e ẽ,ɛ a n,,needs-analyst-review,,transphone_yoruba_swahili
rimwe,r ĩ w e,r i m w a,no,r ĩ w e,r i m w a,,needs-analyst-review,,transphone_yoruba_swahili
rúhuho,r u h u h o,r u h u h ɔ,no,r u h u h o,r u h u h ɔ,,needs-analyst-review,,transphone_yoruba_swahili
wakwa,w a k a,w a k a,yes,w a k a,,w a k a,auto-accepted,,transphone_yoruba_swahili
íría,i r i a,i r i a,yes,i r i a,,i r i a,auto-accepted,,transphone_yoruba_swahili
îrîa,i r i a,i r i a,yes,i r i a,,i r i a,auto-accepted,,transphone_yoruba_swahili
agendi,a ɡ ẽ d i,a ɡ a n d i,no,a ɡ ẽ d i,a ɡ a n d i,,needs-analyst-review,,transphone_yoruba_swahili
atĩ,a t e,a t a,no,a t e,a t a,,needs-analyst-review,,transphone_yoruba_swahili
guoko,ɡ u o k o,ɡ u ɔ k ɔ,no,ɡ u o k o,ɡ u ɔ k ɔ,,needs-analyst-review,,transphone_yoruba_swahili
gwa,ɡ w a,ɡ w a,yes,ɡ w a,,ɡ w a,auto-accepted,,transphone_yoruba_swahili
hanini,h a n ĩ n i,h a n i n i,no,h a n ĩ n i,h a n i n i,,needs-analyst-review,,transphone_yoruba_swahili
igĩrĩ,i ɡ e r e,i ɡ a r a,no,i ɡ e r e,i ɡ a r a,,needs-analyst-review,,transphone_yoruba_swahili
kiambu,k i ẽ b u,k i a m b u,no,k i ẽ b u,k i a m b u,,needs-analyst-review,,transphone_yoruba_swahili
kíhoto,k i h o t o,k i h ɔ t ɔ,no,k i h o t o,k i h ɔ t ɔ,,needs-analyst-review,,transphone_yoruba_swahili
kūrì,k u r i,k u r i,yes,k u r i,,k u r i,auto-accepted,,transphone_yoruba_swahili
macio,m a t i o,m a t i ɔ,no,m a t i o,m a t i ɔ,,needs-analyst-review,,transphone_yoruba_swahili
mahenya,m a h ẽ j a,m a h a ɲ a,no,m a h ẽ j a,m a h a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
mùthenya,m u s ẽ j a,m u t a ɲ a,no,m u s ẽ j a,m u t a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
mūgwanja,m u ɡ w ẽ d a,m u ɡ w a n d a,no,m u ɡ w ẽ d a,m u ɡ w a n d a,,needs-analyst-review,,transphone_yoruba_swahili
mūirū,m u i r u,m u i r u,yes,m u i r u,,m u i r u,auto-accepted,,transphone_yoruba_swahili
nyamu,m a m u,ɲ a m u,no,m a m u,ɲ a m u,,needs-analyst-review,,transphone_yoruba_swahili
othe,o s e,ɔ t a,no,o s e,ɔ t a,,needs-analyst-review,,transphone_yoruba_swahili
round,r o ũ d,r ɔ u n d,no,r o ũ d,r ɔ u n d,,needs-analyst-review,,transphone_yoruba_swahili
taríki,t a r i k i,t a r i k i,yes,t a r i k i,,t a r i k i,auto-accepted,,transphone_yoruba_swahili
about,a b o u t,a b ɔ u t,no,a b o u t,a b ɔ u t,,needs-analyst-review,,transphone_yoruba_swahili
biacara,b i a t a r a,b i a t a r a,yes,b i a t a r a,,b i a t a r a,auto-accepted,,transphone_yoruba_swahili
ciao,t i j a o,t i a ɔ,no,t i j a o,t i a ɔ,,needs-analyst-review,,transphone_yoruba_swahili
cukuru,t u k u r u,t u k u r u,yes,t u k u r u,,t u k u r u,auto-accepted,,transphone_yoruba_swahili
elizabeth,e l i s a b e s,a l i z a b a θ,no,e l i s a b e s,a l i z a b a θ,,needs-analyst-review,,transphone_yoruba_swahili
ihoto,i h o t o,i h ɔ t ɔ,no,i h o t o,i h ɔ t ɔ,,needs-analyst-review,,transphone_yoruba_swahili
jomo,d o m o,ʃ ɔ m ɔ,no,d o m o,ʃ ɔ m ɔ,,needs-analyst-review,,transphone_yoruba_swahili
kuongerera,k u o ɡ e r e r a,k u ɔ ɡ a r a r a,no,k u o ɡ e r e r a,k u ɔ ɡ a r a r a,,needs-analyst-review,,transphone_yoruba_swahili
matano,m a t a n o,m a t a n ɔ,no,m a t a n o,m a t a n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
munene,m u n e n e,m u n a n a,no,m u n e n e,m u n a n a,,needs-analyst-review,,transphone_yoruba_swahili
mwerū,m w e r u,m w a r u,no,m w e r u,m w a r u,,needs-analyst-review,,transphone_yoruba_swahili
míthako,m i s a k o,m i t a k ɔ,no,m i s a k o,m i t a k ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ng'ombe,ɡ o b e,ŋ ɔ m b a,no,ɡ o b e,ŋ ɔ m b a,,needs-analyst-review,,transphone_yoruba_swahili
nyama,m a m a,ɲ a m a,no,m a m a,ɲ a m a,,needs-analyst-review,,transphone_yoruba_swahili
riûa,r i w a,r i w a,yes,r i w a,,r i w a,auto-accepted,,transphone_yoruba_swahili
thĩĩ,s e b,t a,no,s e b,t a,,needs-analyst-review,,transphone_yoruba_swahili
ĩna,e n a,a n a,no,e n a,a n a,,needs-analyst-review,,transphone_yoruba_swahili
ūrugarì,u r u ɡ a r i,u r u ɡ a r i,yes,u r u ɡ a r i,,u r u ɡ a r i,auto-accepted,,transphone_yoruba_swahili
aciarirwo,a t i a r i r w o,a t i a r i r w ɔ,no,a t i a r i r w o,a t i a r i r w ɔ,,needs-analyst-review,,transphone_yoruba_swahili
juma,d u m a,ʃ u m a,no,d u m a,ʃ u m a,,needs-analyst-review,,transphone_yoruba_swahili
kau,k a w,k a w,yes,k a w,,k a w,auto-accepted,,transphone_yoruba_swahili
kúria,k u r i a,k u r i a,yes,k u r i a,,k u r i a,auto-accepted,,transphone_yoruba_swahili
maaì,m a i,m a i,yes,m a i,,m a i,auto-accepted,,transphone_yoruba_swahili
macungwa,m a t ũ ɡ w a,m a t u ɡ ŋ w a,no,m a t ũ ɡ w a,m a t u ɡ ŋ w a,,needs-analyst-review,,transphone_yoruba_swahili
matunda,m a t ũ d a,m a t u n d a,no,m a t ũ d a,m a t u n d a,,needs-analyst-review,,transphone_yoruba_swahili
muoyo,m u o j o,m u ɔ j ɔ,no,m u o j o,m u ɔ j ɔ,,needs-analyst-review,,transphone_yoruba_swahili
múnene,m u n e n e,m u n a n a,no,m u n e n e,m u n a n a,,needs-analyst-review,,transphone_yoruba_swahili
mũthenya,m o s ẽ j a,m ɔ t a ɲ a,no,m o s ẽ j a,m ɔ t a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
ndingirii,d ĩ ɡ i r i,d i ɡ i r i,no,d ĩ ɡ i r i,d i ɡ i r i,,needs-analyst-review,,transphone_yoruba_swahili
niyo,n i j o,n i j ɔ,no,n i j o,n i j ɔ,,needs-analyst-review,,transphone_yoruba_swahili
njira,d i r a,d i r a,yes,d i r a,,d i r a,auto-accepted,,transphone_yoruba_swahili
nyingì,m ĩ ɡ i,ɲ i ɡ i,no,m ĩ ɡ i,ɲ i ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
rìrìa,r i r i a,r i r i a,yes,r i r i a,,r i r i a,auto-accepted,,transphone_yoruba_swahili
timu,t i m u,t i m u,yes,t i m u,,t i m u,auto-accepted,,transphone_yoruba_swahili
uganda,u ɡ ã d a,u ɡ a d a,no,u ɡ ã d a,u ɡ a d a,,needs-analyst-review,,transphone_yoruba_swahili
îîrî,i r i,i r i,yes,i r i,,i r i,auto-accepted,,transphone_yoruba_swahili
ûrugarî,u r u ɡ a r i,u r u ɡ a r i,yes,u r u ɡ a r i,,u r u ɡ a r i,auto-accepted,,transphone_yoruba_swahili
ũrĩo,o r e o,ɔ r a ɔ,no,o r e o,ɔ r a ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ūmūthì,u m u s i,u m u t i,no,u m u s i,u m u t i,,needs-analyst-review,,transphone_yoruba_swahili
icio,i t i o,i t i ɔ,no,i t i o,i t i ɔ,,needs-analyst-review,,transphone_yoruba_swahili
kuo,k u o,k u ɔ,no,k u o,k u ɔ,,needs-analyst-review,,transphone_yoruba_swahili
kuumana,k u m a n a,k u m a n a,yes,k u m a n a,,k u m a n a,auto-accepted,,transphone_yoruba_swahili
mìaka,m i a k a,m i a k a,yes,m i a k a,,m i a k a,auto-accepted,,transphone_yoruba_swahili
mūingì,m u ĩ ɡ i,m u i ɡ i,no,m u ĩ ɡ i,m u i ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
mūnene,m u n e n e,m u n a n a,no,m u n e n e,m u n a n a,,needs-analyst-review,,transphone_yoruba_swahili
roundabout,r o ũ d a b o u t,r ɔ u n d a b ɔ u t,no,r o ũ d a b o u t,r ɔ u n d a b ɔ u t,,needs-analyst-review,,transphone_yoruba_swahili
taûni,t a u n i,t a u n i,yes,t a u n i,,t a u n i,auto-accepted,,transphone_yoruba_swahili
wathani,w a s a n i,w a t a n i,no,w a s a n i,w a t a n i,,needs-analyst-review,,transphone_yoruba_swahili
wĩra,w e r a,w a r a,no,w e r a,w a r a,,needs-analyst-review,,transphone_yoruba_swahili
atírí,a t i r i,a t i r i,yes,a t i r i,,a t i r i,auto-accepted,,transphone_yoruba_swahili
brown,b r o w n,b r ɔ w n,no,b r o w n,b r ɔ w n,,needs-analyst-review,,transphone_yoruba_swahili
ethiopia,e t i o p i a,a t i ɔ p i a,no,e t i o p i a,a t i ɔ p i a,,needs-analyst-review,,transphone_yoruba_swahili
giki,ɡ i k i,ɡ i k i,yes,ɡ i k i,,ɡ i k i,auto-accepted,,transphone_yoruba_swahili
gìthiūrūrì,ɡ i s i u r u r i,ɡ i t i r u r i,no,ɡ i s i u r u r i,ɡ i t i r u r i,,needs-analyst-review,,transphone_yoruba_swahili
iburi,i b u r i,i b u r i,yes,i b u r i,,i b u r i,auto-accepted,,transphone_yoruba_swahili
igírí,i ɡ i r i,i ɡ i r i,yes,i ɡ i r i,,i ɡ i r i,auto-accepted,,transphone_yoruba_swahili
ina,ĩ n a,i n a,no,ĩ n a,i n a,,needs-analyst-review,,transphone_yoruba_swahili
ingi,ĩ ɡ i,i ɡ i,no,ĩ ɡ i,i ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
ithatũ,i s a t o,i t a t ɔ,no,i s a t o,i t a t ɔ,,needs-analyst-review,,transphone_yoruba_swahili
kùri,k u r i,k u r i,yes,k u r i,,k u r i,auto-accepted,,transphone_yoruba_swahili
kūrìa,k u r i a,k u r i a,yes,k u r i a,,k u r i a,auto-accepted,,transphone_yoruba_swahili
rìera,r i e r a,r i a r a,no,r i e r a,r i a r a,,needs-analyst-review,,transphone_yoruba_swahili
rìmwe,r ĩ w e,r i m w a,no,r ĩ w e,r i m w a,,needs-analyst-review,,transphone_yoruba_swahili
town,t o w n,t ɔ w n,no,t o w n,t ɔ w n,,needs-analyst-review,,transphone_yoruba_swahili
world,w o r l d,w ɔ r l d,no,w o r l d,w ɔ r l d,,needs-analyst-review,,transphone_yoruba_swahili
ína,ĩ n a,i n a,no,ĩ n a,i n a,,needs-analyst-review,,transphone_yoruba_swahili
ùyù,u j u,u j u,yes,u j u,,u j u,auto-accepted,,transphone_yoruba_swahili
úria,u r i a,u r i a,yes,u r i a,,u r i a,auto-accepted,,transphone_yoruba_swahili
ciake,t i j a k e,t i a k a,no,t i j a k e,t i a k a,,needs-analyst-review,,transphone_yoruba_swahili
gîa,ɡ i a,ɡ i a,yes,ɡ i a,,ɡ i a,auto-accepted,,transphone_yoruba_swahili
igongona,i ɡ õ ɡ o n a,i ɡ ɔ ɡ ɔ n a,no,i ɡ õ ɡ o n a,i ɡ ɔ ɡ ɔ n a,,needs-analyst-review,,transphone_yoruba_swahili
iguru,i ɡ u r u,i ɡ u r u,yes,i ɡ u r u,,i ɡ u r u,auto-accepted,,transphone_yoruba_swahili
jumamothi,d u m a m o s i,ʃ u m a m ɔ t i,no,d u m a m o s i,ʃ u m a m ɔ t i,,needs-analyst-review,,transphone_yoruba_swahili
keeri,k e r i,k a r i,no,k e r i,k a r i,,needs-analyst-review,,transphone_yoruba_swahili
kisumu,k i s u m u,k i s u m u,yes,k i s u m u,,k i s u m u,auto-accepted,,transphone_yoruba_swahili
makíria,m a k i r i a,m a k i r i a,yes,m a k i r i a,,m a k i r i a,auto-accepted,,transphone_yoruba_swahili
mbele,b e l e,m b a l a,no,b e l e,m b a l a,,needs-analyst-review,,transphone_yoruba_swahili
mbitika,b i t i k a,m b i t i k a,no,b i t i k a,m b i t i k a,,needs-analyst-review,,transphone_yoruba_swahili
mburuu,b u r u,m b u r u,no,b u r u,m b u r u,,needs-analyst-review,,transphone_yoruba_swahili
naivasha,n a i f a ʃ a,n a i v a ʃ a,no,n a i f a ʃ a,n a i v a ʃ a,,needs-analyst-review,,transphone_yoruba_swahili
ndume,d u m e,d u m a,no,d u m e,d u m a,,needs-analyst-review,,transphone_yoruba_swahili
nìwe,n i w e,n i w a,no,n i w e,n i w a,,needs-analyst-review,,transphone_yoruba_swahili
odinga,o d ĩ ɡ a,ɔ d i ɡ a,no,o d ĩ ɡ a,ɔ d i ɡ a,,needs-analyst-review,,transphone_yoruba_swahili
olympics,o j m p i t s,ɔ j m p i t s,no,o j m p i t s,ɔ j m p i t s,,needs-analyst-review,,transphone_yoruba_swahili
pink,p ĩ k,p i k,no,p ĩ k,p i k,,needs-analyst-review,,transphone_yoruba_swahili
ríria,r i r i a,r i r i a,yes,r i r i a,,r i r i a,auto-accepted,,transphone_yoruba_swahili
rĩrĩa,r e r e a,r a r a,no,r e r e a,r a r a,,needs-analyst-review,,transphone_yoruba_swahili
stage,s t a ɡ e,s t a ɡ a,no,s t a ɡ e,s t a ɡ a,,needs-analyst-review,,transphone_yoruba_swahili
tuba,t u b a,t u b a,yes,t u b a,,t u b a,auto-accepted,,transphone_yoruba_swahili
uguo,u ɡ u o,u ɡ u ɔ,no,u ɡ u o,u ɡ u ɔ,,needs-analyst-review,,transphone_yoruba_swahili
wìyathi,w i j a s i,w i j a t i,no,w i j a s i,w i j a t i,,needs-analyst-review,,transphone_yoruba_swahili
yao,j a o,j a ɔ,no,j a o,j a ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ùmwe,ũ w e,u m w a,no,ũ w e,u m w a,,needs-analyst-review,,transphone_yoruba_swahili
ũyũ,o j o,ɔ j ɔ,no,o j o,ɔ j ɔ,,needs-analyst-review,,transphone_yoruba_swahili
arîa,a r i a,a r i a,yes,a r i a,,a r i a,auto-accepted,,transphone_yoruba_swahili
county,t o ũ k,t ɔ u n ɟ,no,t o ũ k,t ɔ u n ɟ,,needs-analyst-review,,transphone_yoruba_swahili
gĩcunjĩ,ɡ e t ũ d e,ɡ a t u ʃ a,no,ɡ e t ũ d e,ɡ a t u ʃ a,,needs-analyst-review,,transphone_yoruba_swahili
ikundi,i k ũ d i,i k u n d i,no,i k ũ d i,i k u n d i,,needs-analyst-review,,transphone_yoruba_swahili
inĩ,ĩ n e,i n a,no,ĩ n e,i n a,,needs-analyst-review,,transphone_yoruba_swahili
itatú,i t a t u,i t a t u,yes,i t a t u,,i t a t u,auto-accepted,,transphone_yoruba_swahili
kauntî,k a ũ t i,k a u t i,no,k a ũ t i,k a u t i,,needs-analyst-review,,transphone_yoruba_swahili
kiama,k i a m a,k i a m a,yes,k i a m a,,k i a m a,auto-accepted,,transphone_yoruba_swahili
marangi,m a r ã ɡ i,m a r a ɡ i,no,m a r ã ɡ i,m a r a ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
matú,m a t u,m a t u,yes,m a t u,,m a t u,auto-accepted,,transphone_yoruba_swahili
maundu,m a ũ d u,m a u d u,no,m a ũ d u,m a u d u,,needs-analyst-review,,transphone_yoruba_swahili
meeri,m e r i,m a r i,no,m e r i,m a r i,,needs-analyst-review,,transphone_yoruba_swahili
mwerù,m w e r u,m w a r u,no,m w e r u,m w a r u,,needs-analyst-review,,transphone_yoruba_swahili
mwerú,m w e r u,m w a r u,no,m w e r u,m w a r u,,needs-analyst-review,,transphone_yoruba_swahili
ndegwa,d e ɡ w a,d a ɡ w a,no,d e ɡ w a,d a ɡ w a,,needs-analyst-review,,transphone_yoruba_swahili
ngoro,ɡ o r o,ŋ ɔ r ɔ,no,ɡ o r o,ŋ ɔ r ɔ,,needs-analyst-review,,transphone_yoruba_swahili
sudan,s u d ɔ̃,s u d a n,no,s u d ɔ̃,s u d a n,,needs-analyst-review,,transphone_yoruba_swahili
the,s e,t a,no,s e,t a,,needs-analyst-review,,transphone_yoruba_swahili
thî,s i,t i,no,s i,t i,,needs-analyst-review,,transphone_yoruba_swahili
wari,w a r i,w a r i,yes,w a r i,,w a r i,auto-accepted,,transphone_yoruba_swahili
aingí,a ĩ ɡ i,a i ɡ i,no,a ĩ ɡ i,a i ɡ i,,needs-analyst-review,,transphone_yoruba_swahili
aramithi,a r a m i s i,a r a m i t i,no,a r a m i s i,a r a m i t i,,needs-analyst-review,,transphone_yoruba_swahili
arì,a r i,a r i,yes,a r i,,a r i,auto-accepted,,transphone_yoruba_swahili
arí,a r i,a r i,yes,a r i,,a r i,auto-accepted,,transphone_yoruba_swahili
arî,a r i,a r i,yes,a r i,,a r i,auto-accepted,,transphone_yoruba_swahili
christmas,t r i s t m a s,t r i s t m a s,yes,t r i s t m a s,,t r i s t m a s,auto-accepted,,transphone_yoruba_swahili
exit,e k s i t,a s i t,no,e k s i t,a s i t,,needs-analyst-review,,transphone_yoruba_swahili
gûgûkorûo,ɡ u ɡ u k o r u o,ɡ u ɡ u k ɔ r u ɔ,no,ɡ u ɡ u k o r u o,ɡ u ɡ u k ɔ r u ɔ,,needs-analyst-review,,transphone_yoruba_swahili
gūkū,ɡ u k u,ɡ u k u,yes,ɡ u k u,,ɡ u k u,auto-accepted,,transphone_yoruba_swahili
híndí,h ĩ d i,h i n d i,no,h ĩ d i,h i n d i,,needs-analyst-review,,transphone_yoruba_swahili
hîndî,h ĩ d i,h i n d i,no,h ĩ d i,h i n d i,,needs-analyst-review,,transphone_yoruba_swahili
igûrû,i ɡ u r u,i ɡ u r u,yes,i ɡ u r u,,i ɡ u r u,auto-accepted,,transphone_yoruba_swahili
itunda,i t ũ d a,i t u n d a,no,i t ũ d a,i t u n d a,,needs-analyst-review,,transphone_yoruba_swahili
keerì,k e r i,k a r i,no,k e r i,k a r i,,needs-analyst-review,,transphone_yoruba_swahili
kena,k e n a,k a n a,no,k e n a,k a n a,,needs-analyst-review,,transphone_yoruba_swahili
kumana,k u m a n a,k u m a n a,yes,k u m a n a,,k u m a n a,auto-accepted,,transphone_yoruba_swahili
kwìna,k w ĩ n a,k w i n a,no,k w ĩ n a,k w i n a,,needs-analyst-review,,transphone_yoruba_swahili
mabuku,m a b u k u,m a b u k u,yes,m a b u k u,,m a b u k u,auto-accepted,,transphone_yoruba_swahili
magūrū,m a ɡ u r u,m a ɡ u r u,yes,m a ɡ u r u,,m a ɡ u r u,auto-accepted,,transphone_yoruba_swahili
make,m a k e,m a k a,no,m a k e,m a k a,,needs-analyst-review,,transphone_yoruba_swahili
mathiko,m a s i k o,m a t i k ɔ,no,m a s i k o,m a t i k ɔ,,needs-analyst-review,,transphone_yoruba_swahili
mwai,m w a i,m w a i,yes,m w a i,,m w a i,auto-accepted,,transphone_yoruba_swahili
mwanya,m w ã j a,m w a ɲ a,no,m w ã j a,m w a ɲ a,,needs-analyst-review,,transphone_yoruba_swahili
mwerû,m w e r u,m w a r u,no,m w e r u,m w a r u,,needs-analyst-review,,transphone_yoruba_swahili
ngirini,m i r ĩ n i,ŋ i r i n i,no,m i r ĩ n i,ŋ i r i n i,,needs-analyst-review,,transphone_yoruba_swahili
njîra,d i r a,d i r a,yes,d i r a,,d i r a,auto-accepted,,transphone_yoruba_swahili
raila,r a i l a,r a i l a,yes,r a i l a,,r a i l a,auto-accepted,,transphone_yoruba_swahili
thìinìe,s i n i e,i n i a,no,s i n i e,i n i a,,needs-analyst-review,,transphone_yoruba_swahili
thíinií,s i ĩ i,t i n i,no,s i ĩ i,t i n i,,needs-analyst-review,,transphone_yoruba_swahili
ìtatū,i t a t u,i t a t u,yes,i t a t u,,i t a t u,auto-accepted,,transphone_yoruba_swahili
íno,ĩ n o,i n ɔ,no,ĩ n o,i n ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ùri,u r i,u r i,yes,u r i,,u r i,auto-accepted,,transphone_yoruba_swahili
ùrio,u r i o,u r i ɔ,no,u r i o,u r i ɔ,,needs-analyst-review,,transphone_yoruba_swahili
ũndũire,o d o i r e,ɔ n d ɔ i r a,no,o d o i r e,ɔ n d ɔ i r a,,needs-analyst-review,,transphone_yoruba_swahili
cio,t i o,t i ɔ,no,t i o,t i ɔ,,needs-analyst-review,,transphone_yoruba_swahili
